ID,CarNumber,Make_n_model,Refund,Fines,History
167,82337X197RUS,Ford Focus,2.0,2100,
168,X757HY197RUS,Ford Focus,2.0,6800,
169,X765HY197RUS,Ford Focus,2.0,13900,
170,934497178RUS,Skoda Octavia,2.0,1900,
171,T195OK161RUS,Ford Mondeo,2.0,6700,
172,E41977152RUS,Ford Focus,1.0,2400,
173,K2807K154RUS,Ford Focus,1.0,1000,
174,T8008Y125RUS,Ford Focus,2.0,1000,
175,9463EX178RUS,Ford Focus,2.0,1400,1
176,X765HY197RUS,Ford Focus,2.0,27800,
177,Y960EE197RUS,Skoda Octavia,1.0,,
178,7840C8197RUS,Ford Focus,2.0,7000,
179,K846YE77RUS,Volkswagen Passat,2.0,2000,
180,E40577152RUS,Ford Focus,1.0,500,
181,7827C8197RUS,Ford Focus,1.0,7500,
182,T394KX197RUS,Ford Focus,1.0,1500,
183,Y655E8750RUS,Skoda Octavia,2.0,5200,
184,H003MH197RUS,Ford Focus,2.0,2900,
185,705787163RUS,Ford Focus,1.0,100,
186,Y7699C197RUS,Ford Focus,2.0,15800,
187,Y6829Y50RUS,Ford Focus,1.0,500,
188,Y358O8197RUS,Ford Focus,2.0,21800,0
189,Y8399C197RUS,Ford Focus,2.0,1800,
190,9135X938RUS,Ford Focus,2.0,4400,
191,T654HT96RUS,Toyota Corolla,2.0,2000,
192,H385TM197RUS,Volkswagen Passat,1.0,9500,
193,M0299X197RUS,Ford Focus,2.0,9600,
194,9428EX178RUS,Ford Focus,1.0,1000,
195,H837YK197RUS,Audi,2.0,4200,
196,O83597197RUS,Ford Focus,2.0,4000,
197,E42577152RUS,Ford Focus,2.0,,
198,E53277152RUS,Ford Focus,1.0,1000,
199,98017H178RUS,Ford Focus,1.0,1500,
200,K329T8197RUS,Skoda Octavia,2.0,13000,1
201,C476M7161RUS,Ford Focus,2.0,1500,
202,9943KK197RUS,Ford Focus,2.0,29700,
203,9679EC178RUS,Ford Focus,2.0,500,
204,8165XX154RUS,Ford Focus,1.0,4900,
205,T476KX197RUS,Ford Focus,1.0,1500,
206,X242EC197RUS,Volkswagen Golf,2.0,10600,
207,C422X938RUS,Ford Focus,2.0,10500,
208,K328T8197RUS,Volkswagen Golf,1.0,300,
209,9466EX178RUS,Ford Focus,2.0,800,2
210,X256HE161RUS,Ford Focus,1.0,2400,
211,Y275O8197RUS,Ford Focus,1.0,,
212,H218X836RUS,Ford Focus,2.0,17500,
213,X255HE161RUS,Ford Focus,1.0,400,
214,7370C8197RUS,Ford Focus,2.0,5000,
215,M373CH197RUS,Ford Focus,2.0,6600,
216,O02397197RUS,Volkswagen Jetta,1.0,4000,
217,8165XX154RUS,Ford Focus,2.0,4200,
218,E432XX77RUS,Toyota Camry,2.0,13000,
219,7830C8197RUS,Ford Focus,2.0,10200,
220,H217X836RUS,Ford Focus,1.0,2000,
221,Y316E877RUS,Ford Focus,2.0,7000,
222,934497178RUS,Skoda Octavia,1.0,3800,
223,O77997197RUS,Ford Focus,2.0,,
224,8601XX154RUS,Skoda Octavia,1.0,1300,
225,M375CH197RUS,Ford Focus,2.0,18100,4
226,Y4298M777RUS,Skoda Octavia,1.0,2000,
227,C420X938RUS,Ford Focus,1.0,3300,
228,O22297197RUS,Ford Focus,1.0,500,
229,M741T9152RUS,Ford Focus,2.0,1000,
230,9883HX152RUS,Ford Focus,2.0,1000,
231,Y6829Y50RUS,Ford Focus,1.0,500,
232,H004MH197RUS,Ford Focus,1.0,39600,
233,E53677152RUS,Ford Focus,2.0,5500,
234,704987163RUS,Ford Focus,2.0,,
235,E160YX77RUS,Ford Focus,2.0,1100,
236,E316EH197RUS,Volkswagen,1.0,1300,5
237,X758HY197RUS,Ford Focus,2.0,72600,
238,T6419O50RUS,Ford Focus,2.0,9000,
239,O22297197RUS,Ford Focus,1.0,500,
240,O02597197RUS,Ford Focus,1.0,800,
241,H963HY161RUS,Ford Focus,1.0,1400,
242,X015HY197RUS,Toyota Corolla,2.0,16000,
243,M6977E152RUS,Ford Focus,2.0,500,
244,96907X197RUS,BMW,1.0,3000,
245,X761HY197RUS,Ford Focus,2.0,18300,
246,9938OH154RUS,Skoda Octavia,1.0,500,2
247,T769OT197RUS,Volkswagen Golf,2.0,30900,
248,Y778EE197RUS,Volkswagen Golf,1.0,24000,
249,7829C8197RUS,Ford Focus,2.0,1800,
250,T6488M116RUS,Ford Focus,2.0,21000,
251,T272HH163RUS,Ford Focus,1.0,1000,
252,T018OX197RUS,Toyota Corolla,2.0,3400,
253,Y255E877RUS,Ford Focus,1.0,2500,
254,9182CE154RUS,Ford Focus,2.0,13200,
255,O753MX161RUS,Ford Focus,1.0,700,
256,9697MO178RUS,Volkswagen Golf,1.0,1000,
257,C477M7161RUS,Ford Focus,2.0,5000,
258,T686EO197RUS,Toyota Camry,1.0,500,
259,O017KO197RUS,Ford Focus,2.0,1600,
260,C590EY154RUS,Ford Focus,2.0,,1
261,T941CC96RUS,Ford Focus,1.0,2000,
262,O22397197RUS,Ford Focus,2.0,55500,
263,X242EC197RUS,Volkswagen Golf,2.0,10600,
264,T020OX197RUS,Toyota Corolla,1.0,34300,
265,E33577152RUS,Ford Focus,2.0,2000,
266,7197TT36RUS,Ford Focus,2.0,6800,
267,Y973O8197RUS,Ford Focus,1.0,34800,
268,E773EH197RUS,Ford Focus,2.0,6800,
269,T6428M116RUS,Ford Focus,2.0,6000,
270,Y7129Y50RUS,Ford Focus,2.0,32000,
271,Y418EX197RUS,Volkswagen Passat,2.0,900,
272,Y7689C197RUS,Ford Focus,1.0,27000,
273,7066C8197RUS,Volkswagen Passat,1.0,3000,
274,X796TH96RUS,Ford Focus,1.0,500,
275,E52877152RUS,Ford Focus,1.0,1500,2
276,7369C8197RUS,Ford Focus,2.0,,
277,9409H7178RUS,Skoda Octavia,2.0,3000,
278,Y166O8161RUS,Ford Focus,1.0,100,
279,705287163RUS,Ford Focus,2.0,2000,
280,K559KC161RUS,Ford Focus,1.0,100,
281,M0299X197RUS,Ford Focus,2.0,67200,
282,8164XX154RUS,Ford Focus,2.0,4400,
283,92928M178RUS,Ford Focus,1.0,600,
284,9822H8161RUS,Ford Focus,1.0,200,
285,8603T8154RUS,Ford Focus,1.0,3000,
286,84418C154RUS,Ford Focus,1.0,3000,
287,Y965O8197RUS,Ford Focus,1.0,1600,
288,E53488152RUS,Ford Focus,2.0,1800,1
289,9697MO178RUS,Volkswagen Golf,1.0,500,
290,M256OH161RUS,Ford Focus,2.0,1600,
291,Y7709C197RUS,Ford Focus,1.0,1500,
292,E53277152RUS,Ford Focus,1.0,500,
293,8201XX154RUS,Ford Focus,1.0,2600,
294,90159H178RUS,Volkswagen Passat,2.0,600,
295,C798ET50RUS,Ford Focus,1.0,10000,
296,Y193O8161RUS,Ford Focus,2.0,600,
297,7248C8197RUS,Ford Mondeo,2.0,8600,
298,Y275O8197RUS,Ford Focus,1.0,6000,
299,K357YE77RUS,Volkswagen Golf,1.0,5000,
300,9697MO178RUS,Volkswagen Golf,1.0,,
301,Y187O8161RUS,Ford Focus,1.0,400,1
302,E0697X152RUS,Skoda Octavia,1.0,2000,
303,M373CH197RUS,Ford Focus,2.0,6600,
304,H982HY161RUS,Ford Focus,1.0,300,
305,8610T8154RUS,Ford Focus,1.0,2000,
306,E40877152RUS,Ford Focus,1.0,1000,
307,K899T8197RUS,Ford Focus,1.0,15400,
308,O83697197RUS,Ford Focus,1.0,6100,
309,Y351O8197RUS,Ford Focus,1.0,1500,
310,9941KK197RUS,Ford Focus,1.0,800,
311,Y356O8197RUS,Ford Focus,2.0,45900,
312,T914CT197RUS,Toyota Camry,2.0,7200,
313,O6939X163RUS,Ford Focus,1.0,7200,
314,Y7649C197RUS,Ford Focus,2.0,5300,2
315,M374CH197RUS,Ford Focus,2.0,5500,
316,9935TE152RUS,Ford Focus,2.0,2500,
317,704687163RUS,Ford Focus,2.0,1400,
318,X523OM161RUS,Ford Focus,1.0,400,
319,T6559O50RUS,Ford Focus,2.0,4000,
320,7197TT36RUS,Ford Focus,2.0,6800,
321,X765HY197RUS,Ford Focus,2.0,41700,
322,96857X197RUS,Skoda Octavia,2.0,18900,
323,M581CH197RUS,Ford Focus,1.0,100,
324,H963HY161RUS,Ford Focus,1.0,1400,
325,M302CH161RUS,Ford Focus,1.0,500,
326,H115YO163RUS,Ford Focus,1.0,,
327,9679EC178RUS,Ford Focus,1.0,500,3
328,O143HO197RUS,Toyota Corolla,2.0,30300,
329,K436MO152RUS,Ford Focus,1.0,1500,
330,9938OH154RUS,Skoda Octavia,1.0,500,
331,E34877152RUS,Ford Focus,2.0,6100,
332,E5878M777RUS,Skoda Octavia,1.0,8500,
333,E33577152RUS,Ford Focus,1.0,1000,
334,7147OE161RUS,Ford Focus,1.0,500,
335,7844C8197RUS,Ford Focus,2.0,34000,
336,X256HE161RUS,Ford Focus,,800,
337,X257HE161RUS,Ford Focus,2.0,5000,
338,C584EY154RUS,Ford Focus,1.0,500,
339,C584EY154RUS,Ford Focus,1.0,500,4
340,H214X836RUS,Ford Focus,2.0,8000,
341,Y4298M777RUS,Skoda Octavia,1.0,2000,
342,E28977161RUS,Ford Focus,2.0,1500,
343,H908YK197RUS,Ford Focus,1.0,4800,
344,T016OX197RUS,Toyota Corolla,2.0,3200,
345,8166XX154RUS,Ford Focus,1.0,600,
346,H889YK197RUS,Ford Focus,,10600,
347,7363C8197RUS,Ford Focus,2.0,1600,
348,Y357O8197RUS,Ford Focus,2.0,2200,
349,T6039O50RUS,Ford Focus,2.0,1500,
350,7365C8197RUS,Ford Focus,1.0,2300,
351,Y967O8197RUS,Ford Focus,1.0,4000,
352,E816HE77RUS,Ford Focus,1.0,3000,2
353,T6329O50RUS,Ford Focus,1.0,500,
354,X504X8197RUS,Skoda Octavia,1.0,,
355,M581CH197RUS,Ford Focus,1.0,200,
356,M374CH197RUS,Ford Focus,2.0,5500,
357,X523OM161RUS,Ford Focus,2.0,800,
358,9470EX178RUS,Ford Focus,1.0,500,
359,C412X938RUS,Ford Focus,1.0,1000,
360,7831C8197RUS,Ford Focus,2.0,3400,
361,8164XX154RUS,Ford Focus,2.0,4400,
362,H004MH197RUS,Ford Focus,2.0,9900,
363,X015HY197RUS,Toyota Corolla,2.0,24000,
364,Y652O8197RUS,Volkswagen Touareg,2.0,5800,
365,E53477152RUS,Ford Focus,2.0,7200,
366,T6419O50RUS,Ford Focus,2.0,9000,
367,E822TH36RUS,Ford Focus,2.0,12900,
368,8437XX154RUS,Ford Focus,1.0,,
369,E445TC197RUS,Ford Focus,1.0,3400,
370,C515X938RUS,Ford Focus,1.0,1900,
371,7172TT36RUS,Ford Focus,2.0,5700,3
372,8436XX154RUS,Ford Focus,1.0,800,
373,E79988152RUS,Ford Focus,1.0,500,
374,8180XX154RUS,Ford Focus,1.0,2800,
375,9499KX178RUS,Ford Focus,2.0,2300,
376,84438C154RUS,Ford Focus,2.0,3800,
377,T6309O50RUS,Ford Focus,2.0,24000,
378,9594HY161RUS,Ford Focus,1.0,300,
379,T6129O50RUS,Ford Focus,2.0,6000,
380,K339T8197RUS,Ford Focus,2.0,19200,
381,8685HE154RUS,Ford Focus,1.0,2000,
382,72457Y96RUS,Ford Focus,2.0,900,
383,Y7449Y50RUS,Ford Focus,2.0,8000,1
384,K899T8197RUS,Ford Focus,2.0,15400,
385,O017KO197RUS,Ford Focus,2.0,800,
386,X782CO96RUS,Ford Focus,1.0,,
387,E591HE77RUS,Ford Focus,2.0,6000,
388,89587X197RUS,Toyota Camry,1.0,4400,
389,Y7659C197RUS,Ford Focus,1.0,1500,
390,9499KX178RUS,Ford Focus,1.0,2300,
391,M581CH197RUS,Ford Focus,1.0,100,
392,8818C877RUS,Volkswagen Passat,,5000,
393,8437XX154RUS,Ford Focus,1.0,800,
394,Y357O8197RUS,Ford Focus,1.0,2200,
395,Y652O8197RUS,Volkswagen Touareg,,5800,
396,X760HY197RUS,Ford Focus,2.0,10100,
397,O058M7161RUS,Ford Focus,2.0,1900,
398,X767HY197RUS,Ford Focus,2.0,18000,4
399,H220X836RUS,Ford Focus,1.0,7000,
400,92788M178RUS,Ford Focus,1.0,1200,
401,H218X836RUS,Ford Focus,2.0,17500,
402,T913CT197RUS,Toyota Camry,1.0,7900,
403,T6439O50RUS,Ford Focus,2.0,16500,
404,7784KT197RUS,Ford Focus,2.0,13200,
405,X286TC36RUS,Ford Focus,2.0,,
406,O752MX161RUS,Ford Focus,1.0,1300,
407,9137X938RUS,Ford Focus,2.0,1600,
408,Y7719C197RUS,Ford Focus,2.0,4600,2
409,Y7449Y50RUS,Ford Focus,1.0,8000,
410,H115YO163RUS,Ford Focus,2.0,1100,
411,8818C877RUS,Volkswagen Passat,2.0,10000,
412,7064C8197RUS,Volkswagen Passat,2.0,12800,
413,92828M178RUS,Ford Focus,1.0,300,
414,Y650E8750RUS,Skoda Octavia,1.0,500,
415,X782CO96RUS,Ford Focus,1.0,1000,
416,X767HY197RUS,Ford Focus,2.0,36000,
417,9498KX178RUS,Ford Focus,2.0,800,
418,83298C154RUS,Ford Focus,1.0,100,
419,8321XX154RUS,Ford Focus,1.0,100,
420,8316XX154RUS,Ford Focus,1.0,2200,
421,T017OX197RUS,Toyota Corolla,2.0,12700,
422,H977HY161RUS,Ford Focus,1.0,,1
423,7788KT197RUS,Ford Focus,2.0,,
424,X522OM161RUS,Ford Focus,1.0,1500,
425,Y8399C197RUS,Ford Focus,1.0,600,
426,O085E8197RUS,Volkswagen Golf,1.0,300,
427,8166XX154RUS,Ford Focus,1.0,600,
428,705387163RUS,Ford Focus,2.0,700,
429,O017KO197RUS,Ford Focus,1.0,800,
430,X4138H125RUS,Ford Focus,1.0,300,
431,8441XX154RUS,Ford Focus,1.0,500,
432,M0269X197RUS,Ford Focus,2.0,,
433,7781KT197RUS,Ford Focus,1.0,1200,10
434,9683EC178RUS,Ford Focus,1.0,6500,
435,T483CT96RUS,Ford Focus,1.0,500,
436,T940CC96RUS,Ford Focus,2.0,1500,
437,C58078163RUS,Ford Focus,1.0,100,
438,O02397197RUS,Volkswagen Jetta,1.0,4000,
439,T018OX197RUS,Toyota Corolla,2.0,6800,
440,H963HY161RUS,Ford Focus,1.0,1400,
441,8611T8154RUS,Ford Focus,2.0,2000,1
442,C583EY154RUS,Ford Focus,1.0,1000,
443,9942KK197RUS,Ford Focus,1.0,3100,
444,83218C154RUS,Ford Focus,1.0,100,
445,704787163RUS,Ford Focus,2.0,2800,
446,E53488152RUS,Ford Focus,2.0,3600,
447,Y7129Y50RUS,Ford Focus,1.0,16000,
448,C313MM99RUS,Toyota Camry,1.0,7500,
449,8611T8154RUS,Ford Focus,1.0,1000,
450,X763HY197RUS,Ford Focus,2.0,9500,1
451,M386M9197RUS,Volkswagen Golf,2.0,5800,
452,8605T8154RUS,Ford Focus,1.0,1000,
453,O22297197RUS,Ford Focus,1.0,,
454,7147OE161RUS,Ford Focus,1.0,500,
455,O134HE197RUS,Ford Focus,2.0,7600,
456,96429X178RUS,Ford Focus,1.0,1300,
457,Y7379Y50RUS,Ford Focus,2.0,2000,
458,K326T8197RUS,Volkswagen Passat,1.0,100,
459,H982HY161RUS,Ford Focus,1.0,300,
460,Y344E877RUS,Ford Focus,1.0,1000,1
461,7361C8197RUS,Ford Focus,1.0,1600,
462,Y359EY197RUS,Skoda Octavia,2.0,3000,
463,T6559O50RUS,Ford Focus,1.0,4000,
464,X759HY197RUS,Ford Focus,2.0,12500,
465,E53277152RUS,Ford Focus,1.0,500,
466,X015HY197RUS,Toyota Corolla,1.0,8000,
467,E552MO152RUS,Ford Focus,1.0,,
468,9469EX178RUS,Ford Focus,2.0,2100,
469,Y6839Y50RUS,Ford Focus,2.0,3000,
470,H237YH197RUS,Ford Focus,1.0,600,1
471,T948OM96RUS,Ford Focus,1.0,2000,
472,T395KX197RUS,Ford Focus,2.0,15200,
473,M301CH161RUS,Ford Focus,1.0,8000,
474,M581CH197RUS,Ford Focus,1.0,100,
475,E79988152RUS,Ford Focus,1.0,1500,
476,9496KX178RUS,Ford Focus,1.0,500,
477,9488EY178RUS,Ford Focus,1.0,1300,
478,T6319O50RUS,Ford Focus,2.0,,
479,H305T8197RUS,Ford Focus,1.0,28100,
480,8201XX154RUS,Ford Focus,2.0,2600,
481,O64297197RUS,Ford Focus,1.0,300,
482,9523M8178RUS,Skoda Octavia,1.0,600,1
483,Y273O8197RUS,Ford Focus,2.0,52600,
484,T6229O50RUS,Ford Focus,2.0,2500,
485,9943KK197RUS,Ford Focus,2.0,19800,
486,X023HY197RUS,Volvo,2.0,10200,
487,8226XX154RUS,Ford Focus,2.0,1000,
488,Y038TO197RUS,Toyota Corolla,1.0,7600,
489,M0289X197RUS,Ford Focus,2.0,40600,
490,E811HE77RUS,Ford Focus,2.0,7000,
491,O785T9163RUS,Ford Focus,1.0,500,
492,X795O796RUS,Ford Focus,1.0,2000,
493,O39997197RUS,Ford Focus,1.0,9000,1
494,97968K152RUS,Ford Focus,2.0,500,
495,K339T8197RUS,Ford Focus,2.0,,
496,9943OH154RUS,Skoda Octavia,1.0,400,
497,H219X836RUS,Ford Focus,1.0,1600,
498,X782CO96RUS,Ford Focus,1.0,1000,
499,T6169O50RUS,Ford Focus,1.0,500,
500,Y352O8197RUS,Ford Focus,2.0,25900,2
501,Y8399C197RUS,Ford Focus,1.0,600,
502,T940CC96RUS,Ford Focus,1.0,500,
503,94178K154RUS,Ford Focus,1.0,500,
504,7365C8197RUS,Ford Focus,2.0,6900,
505,9467EX178RUS,Ford Focus,2.0,3700,
506,O78097197RUS,Ford Focus,2.0,1400,
507,X5707X161RUS,Volkswagen Passat,2.0,500,
508,Y232E877RUS,Ford Focus,2.0,5000,
509,Y388E877RUS,Ford Focus,2.0,19000,
510,X255HE161RUS,Ford Focus,1.0,400,
511,E552MO152RUS,Ford Focus,1.0,,
512,97998K152RUS,Ford Focus,2.0,6300,
513,Y963O8197RUS,Ford Focus,2.0,21600,1
514,Y778EE197RUS,Volkswagen Golf,2.0,168000,
515,T654HT96RUS,Toyota Corolla,2.0,2000,
516,T477KX197RUS,Ford Focus,2.0,94000,
517,T2639T116RUS,Ford Focus,1.0,3000,
518,O49797197RUS,Ford Focus,2.0,5300,
519,708187163RUS,Ford Focus,2.0,1000,
520,O83597197RUS,Ford Focus,2.0,8000,
521,8601XX154RUS,Skoda Octavia,2.0,3900,
522,H387TM197RUS,Volkswagen Passat,2.0,3200,3
523,O68897197RUS,Ford Focus,1.0,8200,
524,72457Y96RUS,Ford Focus,1.0,900,
525,7064C8197RUS,Volkswagen Passat,1.0,12800,
526,E948C8152RUS,Ford Focus,2.0,6000,
527,7248C8197RUS,Ford Mondeo,,34400,
528,C514X938RUS,Ford Focus,2.0,,
529,C589EY154RUS,Ford Focus,1.0,4500,
530,C420X938RUS,Ford Focus,1.0,3300,
531,K899T8197RUS,Ford Focus,2.0,15400,
532,T6418M116RUS,Ford Focus,2.0,24600,
533,8607XX154RUS,Skoda Octavia,2.0,2400,
534,92778M178RUS,Ford Focus,2.0,3000,
